ID_Transacao,Data_Envio,ID_Cliente,Valor_Frete_USD,Status_Entrega
55,2025-12-26,80,,cancelado
56,2025-09-03,12,127.64,Entregue
57,2025-10-26,42,,ENTREGUE
58,2026-05-26,12,42.35,entregue
59,2025-09-10,7,68.37,EM TRANSITO
60,2025-12-27,44,124.49,EM TRANSITO
61,30/05/2026,78,156.47,Em Transito
62,17/02/2026,53,154.84,cancelado
63,03/03/2026,21,164.5,Em Transito
64,11/09/2025,63,119.86,ENTREGUE
65,2026-04-20,2,151.53,ENTREGUE
66,2026-08-31,80,144.68,em transito
67,2026-06-06,55,168.39,EM TRANSITO
68,2026-07-11,68,,EM TRANSITO
69,2025-10-23,45,57.65,ENTREGUE
70,2025-10-09,5,192.36,CANCELADO
71,2026-05-14,17,,CANCELADO
72,14/11/2025,79,162.32,Entregue
73,2026-04-02,19,114.34,CANCELADO
74,23/12/2025,66,196.61,Cancelado
75,2026-05-04,21,169.77,ENTREGUE
76,2026-02-22,5,,Entregue
77,01/02/2026,29,167.94,Em Transito
78,2025-09-20,31,53.62,ENTREGUE
79,2026-03-30,67,87.4,entregue
80,27/05/2026,12,15.05,CANCELADO
81,2025-09-16,78,49.46,Cancelado
82,2026-05-15,12,172.45,Cancelado
83,2026-01-19,60,57.24,EM TRANSITO
84,2025-09-06,27,142.48,ENTREGUE
85,15/11/2025,10,121.47,Em Transito
86,2026-08-17,55,85.94,Cancelado
87,2026-01-01,47,124.56,EM TRANSITO
88,01/10/2025,10,103.14,CANCELADO
89,26/08/2026,7,49.98,cancelado
90,2026-07-14,30,143.28,Entregue
91,18/01/2026,37,98.0,Entregue
92,2026-02-26,19,,ENTREGUE
93,17/05/2026,74,44.82,cancelado
94,07/01/2026,49,80.36,CANCELADO
95,2025-11-19,1,121.5,CANCELADO
96,14/10/2025,73,54.01,EM TRANSITO
97,2026-04-09,34,114.9,Em Transito
98,08/08/2026,74,145.48,entregue
99,2026-04-28,33,,Em Transito
100,22/04/2026,12,53.25,cancelado
101,27/12/2025,28,56.31,EM TRANSITO
102,11/09/2025,50,118.15,entregue
103,2026-05-12,39,192.49,cancelado
104,19/09/2025,20,137.66,EM TRANSITO
105,10/07/2026,67,139.84,entregue
106,31/08/2026,51,131.79,Em Transito
107,07/12/2025,69,68.77,Em Transito
108,24/04/2026,39,35.26,Em Transito
109,2026-08-23,38,,Entregue
110,21/06/2026,58,86.52,Cancelado
111,2025-11-11,75,96.52,Cancelado
112,13/09/2025,37,97.93,cancelado
113,2025-09-11,58,155.9,EM TRANSITO
114,2026-06-22,4,92.0,Entregue
115,06/07/2026,37,112.06,Em Transito
116,2025-11-04,63,132.36,Cancelado
117,04/03/2026,71,24.11,Entregue
118,2025-09-06,48,45.13,Entregue
119,2026-07-18,39,99.23,Em Transito
120,2026-06-07,76,165.81,Entregue
121,2025-10-08,65,117.08,Em Transito
122,2026-04-23,9,185.17,Entregue
123,30/11/2025,4,113.7,entregue
124,06/08/2026,16,12.38,Entregue
125,24/03/2026,32,83.34,em transito
126,09/10/2025,66,40.09,CANCELADO
127,21/09/2025,28,85.06,CANCELADO
128,11/03/2026,2,102.37,Em Transito
129,19/10/2025,8,150.19,Cancelado
130,2026-02-24,65,,CANCELADO
131,2025-09-24,37,178.84,cancelado
132,2025-10-22,56,65.75,em transito
133,2026-04-19,66,118.9,ENTREGUE
134,23/09/2025,18,30.71,Entregue
135,22/02/2026,2,,Em Transito
136,2026-02-19,35,126.7,EM TRANSITO
137,08/12/2025,68,160.09,em transito
138,11/10/2025,4,152.32,Entregue
139,2026-01-20,80,64.4,EM TRANSITO
140,21/09/2025,33,174.81,Entregue
141,19/07/2026,33,115.11,Cancelado
142,01/07/2026,11,96.04,entregue
143,17/12/2025,19,197.34,Entregue
144,30/06/2026,65,26.91,Cancelado
145,2026-06-15,51,51.28,entregue
146,2026-03-23,66,,ENTREGUE
147,2025-09-07,79,151.68,EM TRANSITO
148,28/04/2026,65,143.64,Entregue
149,2025-10-30,63,85.42,Cancelado
150,2026-01-26,32,58.59,ENTREGUE
151,29/11/2025,80,,ENTREGUE
152,2026-02-16,29,136.28,entregue
153,01/04/2026,24,39.16,Entregue
154,2026-03-20,32,27.16,entregue
155,25/11/2025,67,102.15,ENTREGUE
156,05/12/2025,66,105.05,CANCELADO
157,05/04/2026,68,77.28,em transito
158,15/12/2025,22,33.41,em transito
159,2026-05-15,22,24.06,em transito
160,23/01/2026,58,15.43,Em Transito
161,27/08/2026,76,,entregue
162,2025-09-17,24,,Entregue
163,2025-11-23,47,83.92,ENTREGUE
164,31/12/2025,40,12.04,em transito
165,2026-05-18,28,196.19,entregue
166,19/08/2026,63,177.73,cancelado
167,2026-01-10,57,68.19,Cancelado
168,2025-12-27,65,71.05,cancelado
169,2026-06-14,47,39.85,CANCELADO
170,02/04/2026,43,113.16,ENTREGUE
171,2026-02-11,67,,Cancelado
172,26/12/2025,66,56.07,Entregue
173,24/11/2025,56,34.59,Cancelado
174,2026-08-26,7,186.34,entregue
175,2025-10-21,45,111.98,em transito
176,2025-10-02,72,158.75,em transito
177,30/05/2026,47,79.73,Entregue
178,25/04/2026,25,,Em Transito
179,31/08/2026,13,96.77,entregue
180,2026-03-03,36,74.4,Entregue
181,2026-07-01,8,97.4,CANCELADO
182,2025-11-18,42,66.52,Em Transito
183,14/05/2026,64,47.45,CANCELADO
184,2026-01-30,77,185.66,Em Transito
185,09/04/2026,15,,entregue
186,29/08/2026,25,18.74,EM TRANSITO
187,2025-10-12,75,176.98,cancelado
188,04/07/2026,8,72.2,entregue
189,30/08/2026,62,,em transito
190,2025-09-27,46,178.85,Cancelado
191,20/05/2026,40,192.2,EM TRANSITO
192,2025-11-17,64,187.43,Cancelado
193,2026-05-30,70,24.08,CANCELADO
194,2025-10-18,63,95.47,Cancelado
195,13/01/2026,6,118.22,em transito
196,2025-12-31,5,31.31,em transito
197,25/11/2025,55,30.49,Cancelado
198,2025-10-14,35,117.28,Em Transito
199,11/04/2026,62,,Entregue
200,06/04/2026,67,97.63,Cancelado
201,2026-01-03,16,56.83,em transito
202,2026-05-18,35,79.78,EM TRANSITO
203,05/01/2026,42,97.94,CANCELADO
204,10/05/2026,73,,CANCELADO
205,2026-05-08,58,44.97,ENTREGUE
206,2026-02-03,72,109.86,entregue
207,2025-12-24,2,102.24,Cancelado
208,2026-03-28,5,136.82,entregue
209,22/04/2026,53,194.24,ENTREGUE
210,05/11/2025,14,163.1,cancelado
211,03/06/2026,41,180.0,entregue
212,2025-09-30,75,174.08,cancelado
213,07/09/2025,31,140.52,EM TRANSITO
214,11/05/2026,4,193.7,EM TRANSITO
215,2025-11-07,79,22.22,ENTREGUE
216,2026-08-15,36,32.4,Em Transito
217,15/12/2025,33,156.41,ENTREGUE
218,2026-07-24,33,78.23,ENTREGUE
219,21/08/2026,38,,CANCELADO
220,2026-07-08,10,150.42,CANCELADO
221,2026-08-18,22,119.09,Entregue
222,2025-11-26,73,45.96,Entregue
223,2026-01-08,18,20.56,ENTREGUE
224,2026-01-15,33,158.2,Em Transito
225,2025-11-26,49,,entregue
226,2025-12-28,27,178.71,cancelado
227,24/02/2026,57,159.09,CANCELADO
228,16/04/2026,57,161.38,CANCELADO
229,2026-07-15,43,63.39,cancelado
230,2025-10-07,45,33.88,Cancelado
231,23/04/2026,11,57.43,cancelado
232,17/02/2026,48,,CANCELADO
233,18/05/2026,43,111.9,CANCELADO
234,16/10/2025,71,,Entregue
235,2026-03-22,67,35.87,ENTREGUE
236,07/01/2026,38,176.98,Entregue
237,10/11/2025,65,99.72,em transito
238,10/11/2025,48,87.17,ENTREGUE
239,2025-12-28,6,103.77,em transito
240,26/02/2026,59,68.81,EM TRANSITO
241,2025-12-06,45,161.6,CANCELADO
242,2026-05-02,79,36.46,Cancelado
243,09/03/2026,10,,EM TRANSITO
244,10/02/2026,39,28.29,Entregue
245,2026-06-30,46,29.04,entregue
246,2025-11-30,14,196.17,Cancelado
247,15/11/2025,1,49.16,CANCELADO
248,2026-03-18,17,148.42,em transito
249,31/10/2025,66,19.08,ENTREGUE
250,2025-12-22,66,17.3,ENTREGUE
251,2025-11-30,22,28.07,em transito
252,17/12/2025,49,98.04,Entregue
253,06/06/2026,36,11.09,Em Transito
254,2026-03-14,40,21.33,cancelado
255,21/01/2026,3,93.34,cancelado
256,2026-06-05,42,152.21,Em Transito
257,05/02/2026,78,57.26,EM TRANSITO
258,19/03/2026,32,82.95,EM TRANSITO
259,2026-04-12,28,163.94,Entregue
260,2025-11-25,35,98.27,ENTREGUE
261,24/10/2025,32,59.14,entregue
262,30/03/2026,6,10.09,EM TRANSITO
263,29/03/2026,72,176.64,Entregue
264,2026-02-01,27,112.83,em transito
265,05/03/2026,7,135.42,Entregue
266,05/06/2026,11,38.37,CANCELADO
267,31/12/2025,49,,ENTREGUE
268,24/05/2026,60,146.43,Em Transito
269,2026-05-06,48,29.02,entregue
270,15/07/2026,18,,CANCELADO
271,2025-10-14,54,,Em Transito
272,2025-10-31,48,58.22,EM TRANSITO
273,2025-09-29,61,109.7,Entregue
274,13/10/2025,33,,EM TRANSITO
275,02/12/2025,10,129.85,CANCELADO
276,18/01/2026,42,55.15,Em Transito
277,2025-12-24,24,188.46,Em Transito
278,27/08/2026,52,52.51,EM TRANSITO
279,2026-02-06,70,32.95,Em Transito
280,10/12/2025,13,199.29,em transito
281,2026-02-25,60,111.79,Em Transito
282,2025-10-07,72,154.0,em transito
283,01/08/2026,41,157.54,em transito
284,13/02/2026,75,,em transito
285,2026-02-15,42,49.49,cancelado
286,2026-08-29,59,26.71,ENTREGUE
287,13/03/2026,31,161.56,Cancelado
288,2026-01-27,62,33.79,em transito
289,2026-01-31,65,138.81,Entregue
290,2025-10-24,39,14.85,entregue
291,29/03/2026,48,35.86,EM TRANSITO
292,11/06/2026,36,192.09,CANCELADO
293,31/03/2026,47,96.83,Cancelado
294,2025-11-07,19,83.35,entregue
295,01/10/2025,72,180.69,em transito
296,2025-10-27,75,82.37,CANCELADO
297,2026-05-07,71,111.65,em transito
298,2025-10-15,25,,em transito
299,2026-01-16,68,116.15,CANCELADO
300,2026-05-29,59,61.51,CANCELADO
301,2026-05-25,76,,Entregue
302,19/09/2025,20,137.66,EM TRANSITO
303,2026-02-26,19,,ENTREGUE
304,07/12/2025,69,68.77,Em Transito
305,31/12/2025,49,,ENTREGUE
306,2025-11-26,73,45.96,Entregue
307,22/02/2026,2,,Em Transito
308,2026-07-18,39,99.23,Em Transito
309,03/03/2026,21,164.5,Em Transito
310,13/01/2026,6,118.22,em transito
311,21/01/2026,3,93.34,cancelado
312,2026-05-18,35,79.78,EM TRANSITO
313,2025-11-26,49,,entregue
314,21/08/2026,38,,CANCELADO
315,2025-10-21,45,111.98,em transito
